id,name,kind,camp,power,power_dynamic,rank,initiative,target,hits,applies_status,status_turns,def_pierce,crit_bonus,crit_dynamic,heal,lifesteal,revive,cleanse,self_taunt,charge_gain,charge_cost,lore_bonuses_applicable,design_note
strike,Strike,equippable,atk,1.00,,1.00,1.000,foe,1,,,0,0,,,,,,,20,,"swift,potent,surge,piercing,keen,broad",Baseline. Every other action is measured against this.
ember,Ember,equippable,mag,1.05,,1.05,0.952,foe,1,,,0,0,,,,,,,21,,"swift,potent,surge,keen,broad",Starter. Hits RES; full power from the back rank.
mend,Mend,equippable,mag,1.20,,1.05,0.952,ally,1,,,0,0,,TRUE,,,,,22,,"swift,potent,surge,broad,cleansing",Heal 1.20 x MAG.
pierce,Pierce,equippable,atk,1.00,,1.50,0.667,foe,1,,,0.75,0,,,,,,,26,,"swift,potent,surge,piercing,keen,broad",Ignores 75% DEF but slow. Wins vs armour only. S6.0 exemplar.
cleave,Cleave,equippable,atk,0.66,,1.30,0.769,allFoes,1,,,0,0,,,,,,,27,,"swift,potent,surge,piercing,keen",All foes physical.
flurry,Flurry,equippable,atk,0.43,,1.25,0.800,foe,3,,,0,0,,,,,,,26,,"swift,potent,surge,piercing,keen,broad",3 hits each rolling crit. Best keen target.
execute,Execute,equippable,atk,0.65,,1.00,1.000,foe,1,,,0,0,+0.65 at foe HP<=30% else crit forced to 0,,,,,,29,,"swift,potent,surge,piercing,keen,broad",v2.8 payoff is CRIT not power. Power flat and HP-independent.
guardbreak,Guard Break,equippable,atk,0.85,,1.10,0.909,foe,1,sundered,3,0,0,,,,,,,24,,"swift,potent,lasting,deepening,surge,piercing,keen,broad",Sundered.
daunt,Daunt,equippable,atk,0.60,,1.00,1.000,foe,1,enfeebled,3,0,0,,,,,,,22,,"swift,potent,lasting,deepening,surge,piercing,keen,broad",Enfeebled - ATK x0.75.
cripple,Cripple,equippable,atk,0.70,,1.15,0.870,foe,1,slowed,3,0,0,,,,,,,25,,"swift,potent,lasting,deepening,surge,piercing,keen,broad",Slowed - 33% fewer enemy turns. Best non-heal rule.
brace,Brace,equippable,atk,0,,0.65,1.538,self,1,bracing,2,0,0,,,,,,,30,,"swift,lasting,surge",Fast high charge. Fastest action in the game.
vengeance,Vengeance,equippable,atk,1.00,0.55 at full HP rising to 2.10 near death,1.30,0.769,foe,1,,,0,0,,,,,,,26,,"swift,potent,surge,piercing,keen,broad",Scales on SELF HP.
onslaught,Onslaught,equippable,atk,1.00,2.20 on first turn then 0.65,1.45,0.690,foe,1,,,0,0,,,,,,,29,,"swift,potent,surge,piercing,keen,broad",Scales on own turn count.
rally,Rally,equippable,atk,0,,0.75,1.333,self,1,surging,3,0,0,,,,,,,45,,"swift,lasting,surge",Doubles charge rate. Highest charge gain.
